rank;season_start;season_end;team;nr_games;wins;stale;loss;goals_made;goals_against;saldo;points
12;2005;2006;RKC Waalwijk;34;11; 6;17; 48; 58;-10;39
13;2005;2006;Heracles Almelo;34;11; 6;17; 35; 58;-23;39
14;2005;2006;Sparta Rotterdam;34;10; 7;17; 34; 50;-16;37
15;2005;2006;ADO Den Haag;34;10; 5;19; 36; 62;-26;35
16;2005;2006;NAC Breda;34; 8; 9;17; 45; 66;-21;33
17;2005;2006;Willem II;34; 7; 7;20; 45; 66;-21;28
18;2005;2006;RBC Roosendaal;34; 1; 6;27; 22; 90;-68; 9
 1;2006;2007;PSV;34;23; 6; 5; 75; 25; 50;75
 2;2006;2007;AFC Ajax;34;23; 6; 5; 84; 35; 49;75
 3;2006;2007;AZ Alkmaar;34;21; 9; 4; 83; 31; 52;72
 4;2006;2007;FC Twente;34;19; 9; 6; 67; 37; 30;66
 5;2006;2007;sc Heerenveen;34;16; 7;11; 60; 43; 17;55
 6;2006;2007;Roda JC Kerkrade;34;15; 9;10; 47; 36; 11;54
 7;2006;2007;Feyenoord;34;15; 8;11; 56; 66;-10;53
 8;2006;2007;FC Groningen;34;15; 6;13; 54; 54;  0;51
 9;2006;2007;FC Utrecht;34;13; 9;12; 41; 44; -3;48
10;2006;2007;NEC Nijmegen;34;12; 8;14; 36; 44; -8;44
11;2006;2007;NAC Breda;34;12; 7;15; 43; 54;-11;43
12;2006;2007;Vitesse;34;10; 8;16; 50; 55; -5;38
13;2006;2007;Sparta Rotterdam;34;10; 7;17; 40; 66;-26;37
14;2006;2007;Heracles Almelo;34; 7;11;16; 32; 64;-32;32
15;2006;2007;Willem II;34; 8; 7;19; 31; 64;-33;31
16;2006;2007;SBV Excelsior;34; 8; 6;20; 43; 65;-22;30
17;2006;2007;RKC Waalwijk;34; 6; 9;19; 33; 60;-27;27
18;2006;2007;ADO Den Haag;34; 3; 8;23; 40; 72;-32;17
 1;2007;2008;PSV;34;21; 9; 4; 65; 24; 41;72
 2;2007;2008;AFC Ajax;34;20; 9; 5; 94; 45; 49;69
 3;2007;2008;NAC Breda;34;19; 6; 9; 48; 40;  8;63
 4;2007;2008;FC Twente;34;17;11; 6; 52; 32; 20;62
 5;2007;2008;sc Heerenveen;34;18; 6;10; 88; 48; 40;60
 6;2007;2008;Feyenoord;34;18; 6;10; 64; 41; 23;60
 7;2007;2008;FC Groningen;34;15; 6;13; 53; 54; -1;51
 8;2007;2008;NEC Nijmegen;34;14; 7;13; 49; 50; -1;49
 9;2007;2008;Roda JC Kerkrade;34;12;11;11; 55; 55;  0;47
10;2007;2008;FC Utrecht;34;13; 7;14; 59; 55;  4;46
11;2007;2008;AZ Alkmaar;34;11;10;13; 48; 53; -5;43
12;2007;2008;Vitesse;34;12; 7;15; 46; 55; -9;43
13;2007;2008;Sparta Rotterdam;34; 9; 7;18; 52; 76;-24;34
14;2007;2008;Heracles Almelo;34; 8; 8;18; 34; 64;-30;32
15;2007;2008;Willem II;34; 8; 7;19; 40; 49; -9;31
16;2007;2008;De Graafschap;34; 7; 9;18; 33; 64;-31;30
17;2007;2008;VVV-Venlo;34; 7; 8;19; 44; 76;-32;29
18;2007;2008;SBV Excelsior;34; 7; 6;21; 32; 75;-43;27
 1;2008;2009;AZ Alkmaar;34;25; 5; 4; 66; 22; 44;80
 2;2008;2009;FC Twente;34;20; 9; 5; 62; 31; 31;69
 3;2008;2009;AFC Ajax;34;21; 5; 8; 74; 41; 33;68
 4;2008;2009;PSV;34;19; 8; 7; 71; 33; 38;65
 5;2008;2009;sc Heerenveen;34;17; 9; 8; 66; 57;  9;60
 6;2008;2009;FC Groningen;34;17; 5;12; 53; 36; 17;56
 7;2008;2009;Feyenoord;34;12; 9;13; 54; 46;  8;45
 8;2008;2009;NAC Breda;34;13; 6;15; 44; 54;-10;45
 9;2008;2009;FC Utrecht;34;11;11;12; 41; 44; -3;44
10;2008;2009;Vitesse;34;11;10;13; 41; 48; -7;43
11;2008;2009;NEC Nijmegen;34; 9;15;10; 41; 40;  1;42
12;2008;2009;Willem II;34;10; 7;17; 35; 58;-23;37
13;2008;2009;Sparta Rotterdam;34; 9; 8;17; 46; 66;-20;35
14;2008;2009;ADO Den Haag;34; 8; 8;18; 41; 58;-17;32
15;2008;2009;Heracles Almelo;34; 7;11;16; 35; 53;-18;32
16;2008;2009;Roda JC Kerkrade;34; 7; 9;18; 38; 58;-20;30
17;2008;2009;De Graafschap;34; 7; 9;18; 24; 58;-34;30
18;2008;2009;FC Volendam;34; 7; 8;19; 38; 67;-29;29
 1;2009;2010;FC Twente;34;27; 5; 2; 63; 23; 40;86
 2;2009;2010;AFC Ajax;34;27; 4; 3;106; 20; 86;85
 3;2009;2010;PSV;34;23; 9; 2; 72; 29; 43;78
 4;2009;2010;Feyenoord;34;17;12; 5; 54; 31; 23;63
 5;2009;2010;AZ Alkmaar;34;19; 5;10; 64; 34; 30;62
 6;2009;2010;Heracles Almelo;34;17; 5;12; 54; 49;  5;56
 7;2009;2010;FC Utrecht;34;14;11; 9; 39; 33;  6;53
 8;2009;2010;FC Groningen;34;14; 7;13; 48; 47;  1;49
 9;2009;2010;Roda JC Kerkrade;34;14; 5;15; 56; 60; -4;47
10;2009;2010;NAC Breda;34;12;10;12; 42; 49; -7;46
11;2009;2010;sc Heerenveen;34;11; 4;19; 44; 64;-20;37
12;2009;2010;VVV-Venlo;34; 8;11;15; 43; 57;-14;35
13;2009;2010;NEC Nijmegen;34; 8; 9;17; 35; 59;-24;33
14;2009;2010;Vitesse;34; 8; 8;18; 38; 62;-24;32
15;2009;2010;ADO Den Haag;34; 7; 9;18; 38; 59;-21;30
16;2009;2010;Sparta Rotterdam;34; 6; 8;20; 30; 66;-36;26
17;2009;2010;Willem II;34; 7; 2;25; 36; 70;-34;23
18;2009;2010;RKC Waalwijk;34; 5; 0;29; 30; 80;-50;15
 1;2010;2011;AFC Ajax;34;22; 7; 5; 72; 30; 42;73
 2;2010;2011;FC Twente;34;21; 8; 5; 65; 34; 31;71
 3;2010;2011;PSV;34;20; 9; 5; 79; 34; 45;69
 4;2010;2011;AZ Alkmaar;34;17; 8; 9; 55; 44; 11;59
 5;2010;2011;FC Groningen;34;17; 6;11; 65; 52; 13;57
 6;2010;2011;Roda JC Kerkrade;34;14;13; 7; 65; 50; 15;55
 7;2010;2011;ADO Den Haag;34;16; 6;12; 63; 55;  8;54
 8;2010;2011;Heracles Almelo;34;14; 7;13; 65; 56;  9;49
 9;2010;2011;FC Utrecht;34;13; 8;13; 55; 51;  4;47
10;2010;2011;Feyenoord;34;12; 8;14; 53; 54; -1;44
11;2010;2011;NEC Nijmegen;34;10;13;11; 57; 56;  1;43
12;2010;2011;sc Heerenveen;34;10;11;13; 60; 54;  6;41
13;2010;2011;NAC Breda;34;12; 5;17; 44; 60;-16;40
14;2010;2011;De Graafschap;34; 9;11;14; 31; 56;-25;38
15;2010;2011;Vitesse;34; 9; 8;17; 42; 61;-19;35
16;2010;2011;SBV Excelsior;34;10; 5;19; 45; 66;-21;35
17;2010;2011;VVV-Venlo;34; 6; 3;25; 34; 76;-42;21
18;2010;2011;Willem II;34; 3; 6;25; 37; 98;-61;15
 1;2011;2012;AFC Ajax;34;23; 7; 4; 93; 36; 57;76
 2;2011;2012;Feyenoord;34;21; 7; 6; 70; 37; 33;70
 3;2011;2012;PSV;34;21; 6; 7; 87; 47; 40;69
 4;2011;2012;AZ Alkmaar;34;19; 8; 7; 64; 35; 29;65
 5;2011;2012;sc Heerenveen;34;18;10; 6; 79; 59; 20;64
 6;2011;2012;FC Twente;34;17; 9; 8; 82; 46; 36;60
 7;2011;2012;Vitesse;34;15; 8;11; 48; 43;  5;53
 8;2011;2012;NEC Nijmegen;34;13; 6;15; 42; 45; -3;45
 9;2011;2012;RKC Waalwijk;34;13; 6;15; 40; 49; -9;45
10;2011;2012;Roda JC Kerkrade;34;14; 2;18; 55; 70;-15;44
11;2011;2012;FC Utrecht;34;11;10;13; 55; 58; -3;43
12;2011;2012;Heracles Almelo;34;11; 7;16; 52; 62;-10;40
13;2011;2012;NAC Breda;34;10; 8;16; 45; 54; -9;38
14;2011;2012;FC Groningen;34;10; 7;17; 41; 61;-20;37
15;2011;2012;ADO Den Haag;34; 8; 8;18; 38; 67;-29;32
16;2011;2012;VVV-Venlo;34; 9; 4;21; 42; 78;-36;31
17;2011;2012;De Graafschap;34; 6; 6;22; 36; 74;-38;24
18;2011;2012;SBV Excelsior;34; 4; 7;23; 28; 76;-48;19
 1;2012;2013;AFC Ajax;34;22;10; 2; 83; 31; 52;76
 2;2012;2013;PSV;34;22; 3; 9;103; 43; 60;69
 3;2012;2013;Feyenoord;34;21; 6; 7; 64; 38; 26;69
 4;2012;2013;Vitesse;34;19; 7; 8; 68; 42; 26;64
 5;2012;2013;FC Utrecht;34;19; 6; 9; 55; 41; 14;63
 6;2012;2013;FC Twente;34;17;11; 6; 60; 33; 27;62
 7;2012;2013;FC Groningen;34;12; 7;15; 36; 53;-17;43
 8;2012;2013;sc Heerenveen;34;11; 9;14; 50; 63;-13;42
 9;2012;2013;ADO Den Haag;34; 9;13;12; 49; 63;-14;40
10;2012;2013;AZ Alkmaar;34;10; 9;15; 56; 54;  2;39
11;2012;2013;PEC Zwolle;34;10; 9;15; 42; 55;-13;39
12;2012;2013;Heracles Almelo;34; 9;11;14; 58; 71;-13;38
13;2012;2013;NAC Breda;34;10; 8;16; 40; 56;-16;38
14;2012;2013;RKC Waalwijk;34; 9;10;15; 39; 48; -9;37
15;2012;2013;NEC Nijmegen;34;10; 7;17; 44; 66;-22;37
16;2012;2013;Roda JC Kerkrade;34; 7;12;15; 51; 69;-18;33
17;2012;2013;VVV-Venlo;34; 6;10;18; 33; 62;-29;28
18;2012;2013;Willem II;34; 5; 8;21; 33; 76;-43;23
 1;2013;2014;AFC Ajax;34;20;11; 3; 69; 28; 41;71
 2;2013;2014;Feyenoord;34;20; 7; 7; 76; 40; 36;67
 3;2013;2014;FC Twente;34;17;12; 5; 72; 37; 35;63
 4;2013;2014;PSV;34;18; 5;11; 60; 45; 15;59
 5;2013;2014;sc Heerenveen;34;16; 9; 9; 72; 51; 21;57
 6;2013;2014;Vitesse;34;15;10; 9; 65; 49; 16;55
 7;2013;2014;FC Groningen;34;14; 9;11; 57; 53;  4;51
 8;2013;2014;AZ Alkmaar;34;13; 8;13; 54; 50;  4;47
 9;2013;2014;ADO Den Haag;34;12; 7;15; 45; 64;-19;43
10;2013;2014;FC Utrecht;34;11; 8;15; 46; 65;-19;41
11;2013;2014;PEC Zwolle;34; 9;13;12; 47; 49; -2;40
12;2013;2014;SC Cambuur;34;10; 9;15; 40; 50;-10;39
13;2013;2014;Go Ahead Eagles;34;10; 8;16; 45; 69;-24;38
14;2013;2014;Heracles Almelo;34;10; 7;17; 45; 59;-14;37
15;2013;2014;NAC Breda;34; 8;11;15; 43; 54;-11;35
16;2013;2014;RKC Waalwijk;34; 7;11;16; 44; 64;-20;32
17;2013;2014;NEC Nijmegen;34; 5;15;14; 54; 82;-28;30
18;2013;2014;Roda JC Kerkrade;34; 7; 8;19; 44; 69;-25;29
 1;2014;2015;PSV;34;29; 1; 4; 92; 31; 61;88
 2;2014;2015;AFC Ajax;34;21; 8; 5; 69; 29; 40;71
 3;2014;2015;AZ Alkmaar;34;19; 5;10; 63; 56;  7;62
 4;2014;2015;Feyenoord;34;17; 8; 9; 56; 39; 17;59
 5;2014;2015;Vitesse;34;16;10; 8; 66; 43; 23;58
 6;2014;2015;PEC Zwolle;34;16; 5;13; 59; 43; 16;53
 7;2014;2015;sc Heerenveen;34;13;11;10; 53; 46;  7;50
 8;2014;2015;FC Groningen;34;11;13;10; 49; 53; -4;46
 9;2014;2015;Willem II;34;13; 7;14; 46; 50; -4;46
10;2014;2015;FC Twente;34;13;10;11; 56; 51;  5;43
11;2014;2015;FC Utrecht;34;11; 8;15; 60; 62; -2;41
12;2014;2015;SC Cambuur;34;11; 8;15; 46; 56;-10;41
13;2014;2015;ADO Den Haag;34; 9;10;15; 44; 53; -9;37
14;2014;2015;Heracles Almelo;34;11; 4;19; 47; 64;-17;37
15;2014;2015;SBV Excelsior;34; 6;14;14; 47; 63;-16;32
16;2014;2015;NAC Breda;34; 6;10;18; 36; 68;-32;28
17;2014;2015;Go Ahead Eagles;34; 7; 6;21; 29; 59;-30;27
18;2014;2015;FC Dordrecht;34; 4; 8;22; 24; 76;-52;20
 1;2015;2016;PSV;34;26; 6; 2; 88; 32; 56;84
 2;2015;2016;AFC Ajax;34;25; 7; 2; 81; 21; 60;82
 3;2015;2016;Feyenoord;34;19; 6; 9; 62; 40; 22;63
 4;2015;2016;AZ Alkmaar;34;18; 5;11; 70; 53; 17;59
 5;2015;2016;FC Utrecht;34;15; 8;11; 57; 48;  9;53
 6;2015;2016;Heracles Almelo;34;14; 9;11; 47; 49; -2;51
 7;2015;2016;FC Groningen;34;14; 8;12; 41; 48; -7;50
 8;2015;2016;PEC Zwolle;34;14; 6;14; 56; 54;  2;48
 9;2015;2016;Vitesse;34;12;10;12; 55; 38; 17;46
10;2015;2016;NEC Nijmegen;34;13; 7;14; 37; 42; -5;46
11;2015;2016;ADO Den Haag;34;10;13;11; 48; 49; -1;43
12;2015;2016;sc Heerenveen;34;11; 9;14; 46; 61;-15;42
13;2015;2016;FC Twente;34;12; 7;15; 49; 64;-15;40
14;2015;2016;Roda JC Kerkrade;34; 8;10;16; 34; 55;-21;34
15;2015;2016;SBV Excelsior;34; 7; 9;18; 34; 60;-26;30
16;2015;2016;Willem II;34; 6;11;17; 35; 53;-18;29
17;2015;2016;De Graafschap;34; 5; 8;21; 39; 66;-27;23
18;2015;2016;SC Cambuur;34; 3; 9;22; 33; 79;-46;18
 1;2016;2017;Feyenoord;34;26; 4; 4; 86; 25; 61;82
 2;2016;2017;AFC Ajax;34;25; 6; 3; 79; 23; 56;81
 3;2016;2017;PSV;34;22;10; 2; 68; 23; 45;76
 4;2016;2017;FC Utrecht;34;18; 8; 8; 54; 38; 16;62
 5;2016;2017;Vitesse;34;15; 6;13; 51; 40; 11;51
 6;2016;2017;AZ Alkmaar;34;12;13; 9; 56; 52;  4;49
 7;2016;2017;FC Twente;34;12; 9;13; 48; 50; -2;45
 8;2016;2017;FC Groningen;34;10;13;11; 55; 51;  4;43
 9;2016;2017;sc Heerenveen;34;12; 7;15; 54; 53;  1;43
10;2016;2017;Heracles Almelo;34;12; 7;15; 53; 55; -2;43
11;2016;2017;ADO Den Haag;34;11; 5;18; 37; 59;-22;38
12;2016;2017;SBV Excelsior;34; 9;10;15; 43; 60;-17;37
13;2016;2017;Willem II;34; 9; 9;16; 29; 44;-15;36
14;2016;2017;PEC Zwolle;34; 9; 8;17; 39; 67;-28;35
15;2016;2017;Sparta Rotterdam;34; 9; 7;18; 42; 61;-19;34
16;2016;2017;NEC Nijmegen;34; 9; 7;18; 32; 59;-27;34
17;2016;2017;Roda JC Kerkrade;34; 7;12;15; 26; 51;-25;33
18;2016;2017;Go Ahead Eagles;34; 6; 5;23; 32; 73;-41;23
 1;2017;2018;PSV;34;26; 5; 3; 87; 39; 48;83
 2;2017;2018;AFC Ajax;34;25; 4; 5; 89; 33; 56;79
 3;2017;2018;AZ Alkmaar;34;22; 5; 7; 72; 38; 34;71
 4;2017;2018;Feyenoord;34;20; 6; 8; 76; 39; 37;66
 5;2017;2018;FC Utrecht;34;14;12; 8; 58; 53;  5;54
 6;2017;2018;Vitesse;34;13;10;11; 63; 47; 16;49
 7;2017;2018;ADO Den Haag;34;13; 8;13; 45; 53; -8;47
 8;2017;2018;sc Heerenveen;34;12;10;12; 48; 53; -5;46
 9;2017;2018;PEC Zwolle;34;12; 8;14; 42; 54;-12;44
10;2017;2018;Heracles Almelo;34;11; 9;14; 50; 64;-14;42
11;2017;2018;SBV Excelsior;34;11; 7;16; 41; 56;-15;40
12;2017;2018;FC Groningen;34; 8;14;12; 50; 50;  0;38
13;2017;2018;Willem II;34;10; 7;17; 50; 63;-13;37
14;2017;2018;NAC Breda;34; 9; 7;18; 41; 57;-16;34
15;2017;2018;VVV-Venlo;34; 7;13;14; 35; 54;-19;34
16;2017;2018;Roda JC Kerkrade;34; 8; 6;20; 42; 69;-27;30
17;2017;2018;Sparta Rotterdam;34; 7; 6;21; 34; 75;-41;27
18;2017;2018;FC Twente;34; 5; 9;20; 37; 63;-26;24
 1;2018;2019;AFC Ajax;34;28; 2; 4;119; 32; 87;86
 2;2018;2019;PSV;34;26; 5; 3; 98; 26; 72;83
 3;2018;2019;Feyenoord;34;20; 5; 9; 75; 41; 34;65
 4;2018;2019;AZ Alkmaar;34;17; 7;10; 64; 43; 21;58
 5;2018;2019;Vitesse;34;14;11; 9; 70; 51; 19;53
 6;2018;2019;FC Utrecht;34;15; 8;11; 60; 51;  9;53
 7;2018;2019;Heracles Almelo;34;15; 3;16; 61; 68; -7;48
 8;2018;2019;FC Groningen;34;13; 6;15; 39; 41; -2;45
 9;2018;2019;ADO Den Haag;34;12; 9;13; 58; 63; -5;45
10;2018;2019;Willem II;34;13; 5;16; 58; 72;-14;44
11;2018;2019;sc Heerenveen;34;10;11;13; 64; 73; -9;41
12;2018;2019;VVV-Venlo;34;11; 8;15; 47; 63;-16;41
13;2018;2019;PEC Zwolle;34;11; 6;17; 44; 57;-13;39
14;2018;2019;FC Emmen;34;10; 8;16; 41; 72;-31;38
15;2018;2019;Fortuna Sittard;34; 9; 7;18; 50; 80;-30;34
16;2018;2019;SBV Excelsior;34; 9; 6;19; 46; 79;-33;33
17;2018;2019;De Graafschap;34; 8; 5;21; 38; 75;-37;29
18;2018;2019;NAC Breda;34; 5; 8;21; 29; 74;-45;23
 1;2019;2020;AFC Ajax;25;18; 2; 5; 68; 23; 45;56
 2;2019;2020;AZ Alkmaar;25;18; 2; 5; 54; 17; 37;56
 3;2019;2020;Feyenoord;25;14; 8; 3; 50; 35; 15;50
 4;2019;2020;PSV;26;14; 7; 5; 54; 28; 26;49
 5;2019;2020;Willem II;26;13; 5; 8; 37; 34;  3;44
 6;2019;2020;FC Utrecht;25;12; 5; 8; 50; 34; 16;41
 7;2019;2020;Vitesse;26;12; 5; 9; 45; 35; 10;41
 8;2019;2020;Heracles Almelo;26;10; 6;10; 40; 34;  6;36
 9;2019;2020;FC Groningen;26;10; 5;11; 27; 26;  1;35
10;2019;2020;sc Heerenveen;26; 8; 9; 9; 41; 41;  0;33
11;2019;2020;Sparta Rotterdam;26; 9; 6;11; 41; 45; -4;33
12;2019;2020;FC Emmen;26; 9; 5;12; 32; 45;-13;32
13;2019;2020;VVV-Venlo;26; 8; 4;14; 24; 51;-27;28
14;2019;2020;FC Twente;26; 7; 6;13; 34; 46;-12;27
15;2019;2020;PEC Zwolle;26; 7; 5;14; 37; 55;-18;26
16;2019;2020;Fortuna Sittard;26; 6; 8;12; 29; 52;-23;26
17;2019;2020;ADO Den Haag;26; 4; 7;15; 25; 54;-29;19
18;2019;2020;RKC Waalwijk;26; 4; 3;19; 27; 60;-33;15
 1;2020;2021;AFC Ajax;34;28; 4; 2;102; 23; 79;88
 2;2020;2021;PSV;34;21; 9; 4; 74; 35; 39;72
 3;2020;2021;AZ Alkmaar;34;21; 8; 5; 75; 41; 34;71
 4;2020;2021;Vitesse;34;18; 7; 9; 52; 38; 14;61
 5;2020;2021;Feyenoord;34;16;11; 7; 64; 36; 28;59
 6;2020;2021;FC Utrecht;34;13;14; 7; 52; 41; 11;53
 7;2020;2021;FC Groningen;34;14; 8;12; 40; 37;  3;50
 8;2020;2021;Sparta Rotterdam;34;13; 8;13; 49; 48;  1;47
 9;2020;2021;Heracles Almelo;34;12; 8;14; 42; 53;-11;44
10;2020;2021;FC Twente;34;10;11;13; 48; 50; -2;41
11;2020;2021;Fortuna Sittard;34;12; 5;17; 50; 58; -8;41
12;2020;2021;sc Heerenveen;34; 9;12;13; 43; 49; -6;39
13;2020;2021;PEC Zwolle;34; 9;11;14; 44; 53; -9;38
14;2020;2021;Willem II;34; 8; 7;19; 40; 68;-28;31
15;2020;2021;RKC Waalwijk;34; 7; 9;18; 33; 55;-22;30
16;2020;2021;FC Emmen;34; 7; 9;18; 40; 68;-28;30
17;2020;2021;VVV-Venlo;34; 6; 5;23; 43; 91;-48;23
18;2020;2021;ADO Den Haag;34; 4;10;20; 29; 76;-47;22
 1;2021;2022;AFC Ajax;34;26; 5; 3; 98; 19; 79;83
 2;2021;2022;PSV;34;26; 3; 5; 86; 42; 44;81
 3;2021;2022;Feyenoord;34;22; 5; 7; 76; 34; 42;71
 4;2021;2022;FC Twente;34;20; 8; 6; 55; 37; 18;68
 5;2021;2022;AZ Alkmaar;34;18; 7; 9; 64; 44; 20;61
 6;2021;2022;Vitesse;34;15; 6;13; 42; 51; -9;51
 7;2021;2022;FC Utrecht;34;12;11;11; 51; 46;  5;47
 8;2021;2022;sc Heerenveen;34;11; 8;15; 37; 50;-13;41
 9;2021;2022;SC Cambuur;34;11; 6;17; 53; 70;-17;39
10;2021;2022;RKC Waalwijk;34; 9;11;14; 40; 51;-11;38
11;2021;2022;NEC Nijmegen;34;10; 8;16; 38; 52;-14;38
12;2021;2022;FC Groningen;34; 9; 9;16; 41; 55;-14;36
13;2021;2022;Go Ahead Eagles;34;10; 6;18; 37; 51;-14;36
14;2021;2022;Sparta Rotterdam;34; 8;11;15; 30; 48;-18;35
15;2021;2022;Fortuna Sittard;34;10; 5;19; 36; 67;-31;35
16;2021;2022;Heracles Almelo;34; 9; 7;18; 33; 49;-16;34
17;2021;2022;Willem II;34; 9; 6;19; 32; 57;-25;33
18;2021;2022;PEC Zwolle;34; 7; 6;21; 26; 52;-26;27
